#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
2000dg,0.0385,51790.2,1.3,SA,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,4.0,1.5575416666666666,8.888194444444443,,,,,,,,,,
2000dk,0.0175,51812.6,0.2,"B,M,SA,SN",1.62,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,9.0,16.848,32.40644444444445,0.016,0.001,15.347000000000001,0.016,-2.496,0.267,0.062,0.016,34.376,0.23800000000000002
2000dm,0.0149,51815.0,0.4,"B,M,SA,SN",1.46,0.04,B,-19.18,0.09,-0.14,0.05,-0.14,0.05,Gan10,,1.0,274.7457083333333,16.248166666666666,,,,,,,,,,
2000dn,0.0321,51824.2,0.3,"B,M,SA,SN",1.04,0.04,B,-19.38,0.07,-0.14,0.04,-0.12,0.04,Gan10,,4.0,346.27441666666664,-3.2002777777777784,,,,,,,,,,
2000fa,0.0213,51892.1,0.2,"B,M,SA,SN",1.0,0.06,B,-19.52,0.07,-0.13,0.06,-0.12,0.06,CfA2,,15.0,108.87449999999998,23.428444444444448,0.022000000000000002,0.001,15.864,0.021,0.361,0.13,0.099,0.015,35.098,0.209
2001E,0.0191,51925.6,0.8,"B,M,SA,SN",0.92,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,4.0,177.27083333333331,-9.73636111111111,,,,,,,,,,
2001G,0.0168,51929.6,2.2,"M,SA",9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,15.0,137.38825,50.28091666666666,,,,,,,,,,
2001N,0.021,51930.8,0.0,SA,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,9.0,159.99200000000002,24.090555555555554,0.022000000000000002,0.001,16.552,0.028999999999999998,-0.602,0.268,0.369,0.021,35.016999999999996,0.213
2001V,0.0151,51972.8,0.4,"B,M,SA,SN",0.82,0.05,B,-19.6,0.06,-0.09,0.05,-0.05,0.05,CfA3,,38.0,179.353875,25.2025,,,,,,,,,,
2001ay,0.0302,52022.0,0.8,Kri10,0.68,0.05,Kri10,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Kri10",,15.0,216.57083333333333,26.24883333333333,,,,,,,,,,
2001az,0.0407,52032.6,0.6,"B,M,SA,SN",1.09,0.06,B,-19.44,0.1,-0.1,0.05,-0.09,0.05,CfA3,,5.0,248.6154583333333,76.02966666666667,0.040999999999999995,0.001,16.891,0.028999999999999998,0.47200000000000003,0.34700000000000003,-0.044000000000000004,0.016,36.492,0.183
2001bf,0.0156,52045.7,0.8,"B,M,SA,SN",0.99,0.06,B,-19.52,0.1,-0.11,0.06,-0.1,0.05,CfA3,,9.0,270.391625,26.25063888888889,0.015,0.001,14.682,0.016,0.718,0.146,0.011000000000000001,0.012,34.172,0.244
2001bg,0.0072,52040.0,0.4,"B,M,SA,SN",1.06,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,5.0,128.8285833333333,28.468277777777768,,,,,,,,,,
2001br,0.0209,52050.9,0.8,"B,M,SA,SN",1.16,0.04,B,-19.22,0.08,-0.14,0.05,-0.13,0.05,Gan10,,5.0,277.6064583333333,34.103611111111114,,,,,,,,,,
2001ck,0.0347,52072.3,0.2,"B,M,SA,SN",1.05,0.05,B,-19.44,0.08,-0.12,0.04,-0.12,0.04,Gan10,,4.0,219.45866666666663,30.48394444444445,,,,,,,,,,
