SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
1999aw,0.0393,16.77,0.06,2.14,0.24,0.01,0.02,36.33,0.1
1999bi,0.1241,19.74,0.04,1.84,0.58,0.19,0.03,38.82,0.11
1999bm,0.1441,20.40,0.04,-3.64,0.85,0.18,0.04,38.84,0.16
1999bn,0.1299,19.56,0.03,0.60,0.64,-0.01,0.03,38.98,0.13
1999bp,0.0784,18.37,0.03,0.42,0.21,0.02,0.02,37.68,0.09
2001ah,0.0583,17.63,0.06,1.35,0.67,0.03,0.02,37.03,0.21
2001ay,0.0309,16.71,0.08,3.06,0.37,0.19,0.03,35.93,0.18
2001az,0.0406,16.90,0.06,0.79,0.42,-0.02,0.02,36.37,0.17
2001bf,0.0152,14.68,0.15,0.64,0.21,0.02,0.02,34.02,0.22
2001cp,0.0224,15.16,0.20,-1.95,1.23,-0.29,0.11,34.95,0.24
2001da,0.016,15.43,0.14,-1.70,0.61,0.15,0.04,34.17,0.22
2001eh,0.0362,16.57,0.06,1.40,0.19,0.03,0.02,35.99,0.17
2001en,0.0149,15.04,0.16,-1.15,0.24,0.07,0.03,34.03,0.22
2001ep,0.0129,14.87,0.17,-1.22,0.16,0.14,0.02,33.68,0.23
2001fe,0.0145,14.63,0.15,0.41,0.18,0.03,0.02,33.92,0.22
2001fh,0.0121,14.23,0.25,-2.61,0.33,-0.03,0.02,33.31,0.3
2001g,0.0173,14.91,0.14,-0.08,0.36,-0.02,0.05,34.25,0.22
2001ie,0.0312,16.56,0.09,-1.26,0.23,0.04,0.03,35.63,0.18
2001n,0.0221,16.51,0.10,-0.44,0.27,0.35,0.02,34.91,0.19
2001v,0.016,14.54,0.14,0.77,0.14,0.05,0.02,33.82,0.21
2002bf,0.0249,16.51,0.11,-2.30,0.46,0.30,0.04,34.80,0.19
2002bo,0.0053,13.91,0.41,-0.75,0.12,0.44,0.02,32.04,0.44
2002cd,0.0097,15.47,0.24,0.68,0.21,0.59,0.02,33.42,0.29
2002ck,0.0303,16.24,0.09,-0.04,0.16,-0.03,0.02,35.63,0.18
2002cr,0.0104,14.18,0.21,-0.60,0.13,0.03,0.02,33.35,0.26
2002de,0.0283,16.62,0.08,0.08,0.38,0.17,0.01,35.52,0.18
2002dj,0.0104,13.93,0.21,-0.14,0.15,0.17,0.01,32.82,0.26
2002do,0.0152,15.28,0.21,-3.55,0.48,-0.04,0.06,34.26,0.24
2002dp,0.0105,14.54,0.21,-0.60,0.23,0.14,0.01,33.42,0.26
2002es,0.0279,16.32,0.10,-1.27,0.18,0.33,0.03,34.67,0.18
2002fk,0.0066,13.09,0.33,-0.26,0.15,-0.07,0.02,32.55,0.37
2002g,0.0345,17.54,0.09,-1.73,0.68,0.27,0.04,35.98,0.21
2002ha,0.0131,14.66,0.17,-1.66,0.25,-0.02,0.02,33.83,0.23
2002hd,0.036,16.70,0.07,-0.81,0.50,0.10,0.02,35.68,0.18
2002he,0.0248,16.23,0.10,-2.06,0.26,0.01,0.02,35.26,0.18
2002hu,0.0292,16.59,0.08,0.27,0.17,-0.02,0.01,35.99,0.17
2002hw,0.0163,16.66,0.14,-2.30,0.27,0.50,0.03,34.45,0.21
2002jy,0.0187,15.69,0.12,0.77,0.19,0.02,0.01,35.05,0.2
