,,SN,F_b,F_b_err,F_r,F_r_err,pEW,pEW_err,d_pEW,d_pEW_err,v,v_err,a,a_err,FWHM,FWHM_err
SN,2006bt,-4.53,0.47,0.01,0.39,0.01,58.4,3.6,-13.3,13.9,8.94,0.11,0.307,0.01,129.8,2.4
SN,2006bt,2.27,0.48,0.0,0.39,0.01,63.7,3.9,-12.8,14.0,7.03,0.11,0.325,0.008,139.5,2.4
SN,2006bu,4.22,0.14,0.0,0.12,0.0,74.5,4.6,2.2,14.2,8.59,0.11,0.36200000000000004,0.009000000000000001,125.5,2.3
SN,2006bw,8.9,0.47,0.01,0.38,0.0,62.3,3.8,10.6,14.0,5.46,0.11,0.359,0.006,207.8,2.4
SN,2006bz,-2.44,0.34,0.02,0.29,0.01,50.4,3.2,-26.0,13.8,7.6,0.11,0.272,0.004,223.8,2.4
SN,2006cf,6.28,0.36,0.03,0.33,0.03,87.9,5.3,23.0,14.5,6.81,0.13,0.35700000000000004,0.012,88.3,2.4
SN,2006cj,3.43,0.2,0.01,0.17,0.01,67.4,4.4,-6.9,14.1,9.61,0.11,0.33899999999999997,0.015,254.8,2.3
SN,2006cm,-1.15,0.44,0.01,0.57,0.01,73.1,4.2,-4.9,14.1,11.51,0.11,0.307,0.006,261.7,2.4
SN,2006cp,-5.3,1.19,0.02,0.98,0.01,81.0,4.8,11.7,14.3,11.54,0.11,0.355,0.004,271.9,2.4
SN,2006cq,2.0,0.33,0.01,0.29,0.01,84.8,5.1,7.9,14.4,9.58,0.11,0.37200000000000005,0.005,265.2,2.3
SN,2006cs,2.28,0.33,0.01,0.28,0.01,42.9,2.8,-33.6,13.7,8.07,0.11,0.243,0.008,218.8,2.4
SN,2006cz,1.12,0.5,0.01,0.43,0.01,77.3,4.3,-0.6,14.1,10.23,0.11,0.28300000000000003,0.006999999999999999,274.5,2.4
SN,2006dm,-7.9,0.35,0.02,0.3,0.01,65.8,4.1,7.8,14.1,10.37,0.11,0.32,0.013000000000000001,144.8,2.4
SN,2006dm,8.73,1.5,0.01,1.01,0.01,28.8,1.9,-23.8,13.6,6.31,0.11,0.18899999999999997,0.009000000000000001,182.0,2.4
SN,2006ef,3.2,3.19,0.03,2.28,0.01,103.2,5.9,28.4,14.7,8.83,0.11,0.431,0.005,273.1,2.4
SN,2006ej,-3.7,1.81,0.02,1.46,0.01,83.0,4.9,9.0,14.3,11.2,0.11,0.36700000000000005,0.006,271.5,2.4
SN,2006ej,5.09,1.3,0.02,1.1,0.01,78.7,4.6,9.2,14.2,8.68,0.11,0.376,0.004,156.8,2.4
SN,2006en,8.55,0.73,0.02,0.51,0.01,47.6,3.1,-6.1,13.8,8.25,0.11,0.28800000000000003,0.011000000000000001,116.3,2.4
SN,2006et,3.29,1.58,0.02,1.39,0.02,79.0,4.6,4.4,14.2,7.94,0.11,0.364,0.005,256.3,2.4
SN,2006et,9.14,1.48,0.01,1.08,0.04,50.0,3.1,-0.3,13.8,7.85,0.11,0.27,0.009000000000000001,242.6,2.4
SN,2006ev,10.54,0.64,0.01,0.48,0.01,55.6,3.3,14.6,13.9,7.3,0.11,0.276,0.006999999999999999,112.8,2.4
SN,2006gj,4.7,0.24,0.01,0.24,0.01,77.5,4.8,6.7,14.3,7.71,0.11,0.395,0.012,245.1,2.4
SN,2006gt,3.08,0.23,0.01,0.2,0.01,82.7,5.1,7.6,14.4,7.83,0.11,0.40299999999999997,0.013000000000000001,252.7,2.3
SN,2006kf,-8.96,0.26,0.02,0.26,0.01,54.7,3.5,2.6,13.9,10.8,0.11,0.316,0.008,180.2,2.4
SN,2006kf,-3.05,0.83,0.02,0.69,0.01,71.2,4.4,-4.2,14.2,9.41,0.11,0.345,0.004,256.5,2.4
SN,2006lf,-6.3,0.42,0.01,0.41,0.0,79.6,4.4,14.1,14.1,10.37,0.11,0.335,0.004,264.5,2.4
SN,2006mp,5.66,1.23,0.02,1.08,0.01,64.1,3.8,-3.3,14.0,7.97,0.11,0.319,0.004,251.2,2.4
SN,2006or,-2.79,0.88,0.01,0.81,0.01,70.0,4.1,-5.9,14.1,9.45,0.11,0.324,0.004,264.5,2.4
SN,2006os,8.61,0.34,0.01,0.29,0.01,78.1,4.5,24.7,14.2,8.16,0.11,0.381,0.006,129.7,2.4
SN,2006sr,2.69,1.44,0.02,1.3,0.01,89.3,5.2,13.4,14.4,8.95,0.11,0.402,0.005,267.5,2.4
SN,2007A,2.37,2.31,0.03,2.09,0.02,80.0,4.6,3.7,14.2,9.08,0.11,0.35700000000000004,0.004,269.2,2.4
SN,2007F,-9.35,0.97,0.01,0.71,0.01,30.5,2.0,-19.2,13.6,11.38,0.11,0.165,0.006999999999999999,248.1,2.4
SN,2007F,3.23,1.68,0.02,1.51,0.01,79.7,4.6,5.0,14.2,9.11,0.11,0.35600000000000004,0.003,263.8,2.4
